iso_code,country_wb,population_density,health_expenditure_per_capita,health_expenditure_pct_gdp
HND,Honduras,91.9642237912235,253.63349915,9.27311516
HPC,Heavily indebted poor countries (HIPC),44.9054154980091,51.3398992636346,4.96292259537178
HRV,Croatia,69.3170300214439,1423.52905273,8.08265686
HTI,Haiti,412.720827285922,59.89406204,3.57739854
HUN,Hungary,105.532895025203,1392.97460938,7.33524847
IBD,IBRD only,69.2969708257201,409.708232311971,5.63550794814237
IBT,IDA & IBRD total,70.0772904413303,315.350586299164,5.52462355898758
IDA,IDA total,72.2614273728886,61.8279025388772,4.11653383028117
IDB,IDA blend,130.364672327845,73.1611514380078,3.94657669263054
IDN,Indonesia,146.235107708626,158.89761353,3.70634937
IDX,IDA only,58.2868067553552,55.7221807591881,4.27636962214181
IMN,Isle of Man,147.554385964912,,
IND,India,475.652042419085,75.54971313,3.34680939
IRL,Ireland,74.1847147626651,6754.07519531,6.44113493
IRN,"Iran, Islamic Rep.",54.518020338983,196.66934204,4.85886621
IRQ,Iraq,99.2127035680556,251.59538269,5.14179993
ISL,Iceland,3.69453535654071,6722.421875,9.72073746
ISR,Israel,433.059149722736,4294.18847656,7.83961058
ITA,Italy,199.965416259464,3414.57299805,9.28164482
JAM,Jamaica,262.020498614958,413.36227417,8.00261688
JOR,Jordan,124.629547041467,322.01589966,7.69733906
JPN,Japan,344.80546776406,4843.94433594,12.08108234
KAZ,Kazakhstan,7.31325813979331,391.81536865,3.98701859
KEN,Kenya,91.6187594501618,94.20249176,4.56992722
KGZ,Kyrgyz Republic,35.7206673618352,72.58779144,5.35275602
KHM,Cambodia,96.160803308407,137.38909912,6.33888054
KIR,Kiribati,158.49012345679,263.09573364,11.83228588
KNA,St. Kitts and Nevis,179.857692307692,1132.58447266,6.16912127
KOR,"Korea, Rep.",530.425604508197,3125.82714844,8.34412766
KWT,Kuwait,244.717452300786,1829.13134766,5.37273169
LAC,Latin America & Caribbean (excluding high income),32.5199516637478,651.981245802634,8.26241474624554
LAO,Lao PDR,32.2928682842288,68.61697388,2.74392009
LBN,Lebanon,558.956207233627,189.8581543,4.40006208
LBR,Liberia,54.60260589701,88.54867554,13.27175999
LBY,Libya,4.05513656978528,298.84338379,6.05457449
LCA,St. Lucia,292.659016393443,654.8918457,6.26193285
LCN,Latin America & Caribbean,32.3915533982336,673.508345214622,8.30086541481329
LDC,Least developed countries: UN classification,54.4807435364887,48.1863019536304,3.91714309031019
LIE,Liechtenstein,244.8875,10912.36132813,5.38460207
LKA,Sri Lanka,358.163595215002,202.75497437,5.19427729
LMY,Low & middle income,83.9597275062232,294.08380079348,5.36581576426284
LSO,Lesotho,74.4908432147563,115.81448364,10.66165733
LTE,Late-demographic dividend,52.1123508775933,685.250208787111,5.82764876402411
LTU,Lithuania,44.8551349624661,1844.33154297,7.73210812
LUX,Luxembourg,248.62068161867,7632.57275391,5.60806084
LVA,Latvia,30.2826610959344,1897.95275879,9.4105072
MAC,"Macao SAR, China",20681.8181818182,,
MAF,St. Martin (French part),599.22,,
MAR,Morocco,82.8017969975353,209.57344055,5.45314503
MCO,Monaco,18487.0441458733,8225.38769531,3.67494631
MDA,Moldova,90.3612977338393,403.87823486,7.7490406
MDG,Madagascar,51.0331436919904,17.17938805,3.55335546
MDV,Maldives,1720.51333333333,901.09185791,8.85169506
MEA,"Middle East, North Africa, Afghanistan & Pakistan",60.7250479184394,294.888636725992,5.43185095763575
MEX,Mexico,65.664316469045,606.13415527,5.87678003
MHL,Marshall Islands,229.816666666667,782.16351318,12.49257088
MIC,Middle income,93.0561367400262,318.264856128467,5.36285367228054
MKD,North Macedonia,72.8435368754956,636.65447998,8.41851234
MLI,Mali,18.348478515641,30.55883217,3.54318666
MLT,Malta,1619.21875,3641.03833008,9.52782059
MMR,Myanmar,81.7980020531049,96.86240387,5.53530645
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",70.0399427000988,132.824474109095,4.8635178491356
MNE,Montenegro,46.4723420074349,1024.2565918,10.55253506
MNG,Mongolia,2.17253662423347,330.03753662,7.21042728
MNP,Northern Mariana Islands,102.128260869565,,
MOZ,Mozambique,40.3212187492052,44.09894943,8.64841366
MRT,Mauritania,4.59384301930727,73.6309433,3.78022528
MUS,Mauritius,634.118177265899,593.77947998,6.6160841
MWI,Malawi,212.635320322444,46.41017532,7.5164628
MYS,Malaysia,104.344541165728,476.94366455,4.37438345
