country,code,continent,population,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,diabetes_prevalence
Turkey,TUR,Asia,87058469.0,17004726.0,195325.34,101419.0,1164.9528,66.554184,61.081894,47.583344,42.12536496350365,32.071998596191406,36154.4921875,3.049999952316284,77.59130096435547,16.5
Turkmenistan,TKM,Asia,7230197.0,0.0,0.0,0.0,0.0,63.82771,63.19193,52.784176,48.85249087591241,25.93099975585937,18662.298828125,3.5999999046325684,69.91329956054688,7.099999904632568
Turks and Caicos Islands,TCA,North America,45869.0,6935.0,151191.44,41.0,893.84985,71.540695,66.95154,16.226645,,37.86600112915039,33390.52734375,,77.9176025390625,
Tuvalu,TUV,Oceania,10012.0,2943.0,293947.25,1.0,99.88014,97.512985,94.93607,57.38114,,24.256000518798828,5812.3994140625,,66.85160064697266,19.0
Uganda,UGA,Africa,47312718.0,172234.0,3640.332,3632.0,76.76583,42.34208,27.605951,1.6161913,53.76440693430657,16.33799934387207,2879.670166015625,,67.67469787597656,2.200000047683716
Ukraine,UKR,Europe,41048768.0,5555510.0,135339.27,109937.0,2678.2046,39.628956,38.347157,8.026986,41.495383211678835,41.45100021362305,16319.8447265625,6.139999866485596,72.658203125,6.0
United Arab Emirates,ARE,Asia,10242085.0,1067030.0,104180.94,2349.0,229.34784,97.54937,95.60813,50.17239,44.236423357664236,30.902999877929688,69701.8046875,1.870000004768372,80.48680114746094,20.700000762939453
United Kingdom,GBR,Europe,68179315.0,25117625.0,368405.34,232112.0,3404.4343,78.91978,74.43005,59.217354,43.06886861313868,39.50400161743164,52621.1796875,2.4200000762939453,81.07440185546875,7.400000095367432
United States,USA,North America,341534041.0,103436829.0,302859.5,1238189.0,3625.375,79.1216,67.52983,38.960323,48.40324817518248,37.720001220703125,75489.265625,2.680000066757202,77.97889709472656,13.699999809265137
United States Virgin Islands,VIR,North America,86521.0,25389.0,293443.22,132.0,1525.6411,,,,37.45260948905109,44.57099914550781,46479.30078125,,75.0448989868164,9.100000381469728
Uruguay,URY,South America,3390913.0,1043251.0,307660.8,7696.0,2269.5952,88.780334,85.616646,92.09122,37.462892335766426,35.49599838256836,32038.7734375,2.440000057220459,76.46820068359375,7.800000190734863
Uzbekistan,UZB,Asia,34938953.0,175158.0,5013.2583,1016.0,29.079292,63.237354,52.81149,46.97636,38.66305656934306,26.836000442504883,10450.205078125,4.889999866485596,72.14649963378906,7.5
Vanuatu,VUT,Oceania,313061.0,12019.0,38391.88,14.0,44.71972,56.418396,51.82696,8.8471575,29.245483576642336,20.121000289916992,3172.047607421875,,71.30159759521484,19.700000762939453
Vatican,VAT,Europe,513.0,26.0,50682.26,0.0,0.0,,,,,59.875,,,83.33540344238281,
Venezuela,VEN,South America,28213015.0,552745.0,19591.844,5856.0,207.56378,78.5355,53.048817,2.309225,55.20144160583941,28.809999465942383,,0.9900000095367432,72.56559753417969,8.600000381469727
Vietnam,VNM,Asia,99680656.0,11624000.0,116612.4,43206.0,433.44418,90.7876,86.23695,58.160954,54.68280109489051,31.9379997253418,14415.2158203125,2.5199999809265137,74.50250244140625,3.400000095367432
Wallis and Futuna,WLF,Oceania,11501.0,3760.0,326928.1,9.0,782.54065,62.168507,59.15138,32.74498,,36.5989990234375,,,78.50050354003906,
Western Sahara,ESH,Africa,568746.0,,,,,,,,,31.697999954223636,,,71.14320373535156,
Yemen,YEM,Asia,38222878.0,11945.0,312.5092,2159.0,56.484497,2.7475743,2.1114502,0.18032394,25.444096715328467,18.118000030517575,,0.4600000083446502,67.95169830322266,5.5
Zambia,ZMB,Africa,20152935.0,349892.0,17361.838,4078.0,202.35266,58.113445,45.719406,7.019419,31.79153284671533,17.288000106811523,3708.069091796875,,65.27909851074219,10.300000190734863
Zimbabwe,ZWE,Africa,16069061.0,266436.0,16580.682,5740.0,357.2082,46.83461,35.236153,14.313021,53.75140510948905,17.683000564575195,5215.2529296875,1.950000047683716,62.36009979248047,1.5
